Time quotient is: 0.9136450222560337| input type: 2| time:89 | latency: 31.97757577896118
Time quotient is: 0.8674697467258998| input type: 2| time:154 | latency: 30.361441135406494
Time quotient is: 0.8643069131033762| input type: 2| time:219 | latency: 30.250741958618164
Time quotient is: 0.8908550466809954| input type: 2| time:284 | latency: 31.17992663383484
Time quotient is: 0.8712216172899518| input type: 2| time:353 | latency: 30.492756605148315
Time quotient is: 0.8283688477107457| input type: 2| time:416 | latency: 28.9929096698761
Time quotient is: 0.91628144127982| input type: 2| time:483 | latency: 32.0698504447937
Time quotient is: 0.8694985866546631| input type: 2| time:547 | latency: 30.432450532913208
Time quotient is: 0.88392607825143| input type: 2| time:617 | latency: 30.93741273880005
Time quotient is: 0.8755810124533517| input type: 2| time:682 | latency: 30.64533543586731
Time quotient is: 0.9011850084577288| input type: 2| time:748 | latency: 31.541475296020508
Time quotient is: 0.8798036302839006| input type: 2| time:813 | latency: 30.793127059936523
Time quotient is: 0.6596886157989502| input type: 2| time:870 | latency: 23.089101552963257
Time quotient is: 0.6696586813245501| input type: 2| time:928 | latency: 23.438053846359253
Time quotient is: 0.8456603458949498| input type: 2| time:991 | latency: 29.598112106323242
Time quotient is: 0.9257922308785574| input type: 2| time:1058 | latency: 32.40272808074951
Time quotient is: 0.9508159228733608| input type: 2| time:1126 | latency: 33.27855730056763
Time quotient is: 0.919269493647984| input type: 2| time:1192 | latency: 32.17443227767944
Time quotient is: 0.8859974248068673| input type: 2| time:1257 | latency: 31.009909868240356
Time quotient is: 0.8938087122780937| input type: 2| time:1350 | latency: 31.283304929733276
Time quotient is: 0.8575615269797189| input type: 2| time:1414 | latency: 30.01465344429016
Time quotient is: 0.7503226688929967| input type: 2| time:1474 | latency: 26.261293411254883
Time quotient is: 0.702647032056536| input type: 2| time:1533 | latency: 24.59264612197876
Time quotient is: 0.7251682826450893| input type: 2| time:1593 | latency: 25.380889892578125
Time quotient is: 0.7320462022508893| input type: 2| time:1653 | latency: 25.621617078781128
Time quotient is: 0.6785255636487688| input type: 2| time:1717 | latency: 23.74839472770691
Time quotient is: 0.7268705027444022| input type: 2| time:1777 | latency: 25.440467596054077
Time quotient is: 0.7260977336338588| input type: 2| time:1837 | latency: 25.41342067718506
Time quotient is: 0.6781236852918352| input type: 2| time:1895 | latency: 23.734328985214233
Time quotient is: 1.3428045068468366| input type: 2| time:1976 | latency: 46.99815773963928
Time quotient is: 0.6650036471230644| input type: 2| time:2034 | latency: 23.27512764930725
Time quotient is: 0.6921456064496722| input type: 2| time:2093 | latency: 24.225096225738525
Time quotient is: 0.89307507787432| input type: 2| time:2158 | latency: 31.257627725601196
Time quotient is: 0.9035441534859794| input type: 2| time:2224 | latency: 31.624045372009277
Time quotient is: 0.8556972163064139| input type: 2| time:2289 | latency: 29.949402570724487
Time quotient is: 0.8309291362762451| input type: 2| time:2352 | latency: 29.08251976966858
Time quotient is: 0.7087787015097482| input type: 2| time:2411 | latency: 24.807254552841187
Time quotient is: 0.6756140981401716| input type: 2| time:2469 | latency: 23.646493434906006
Time quotient is: 0.8756113324846541| input type: 2| time:2534 | latency: 30.64639663696289
Time quotient is: 0.9104037080492292| input type: 2| time:2601 | latency: 31.864129781723022
Time quotient is: 0.9291145324707031| input type: 2| time:2667 | latency: 32.51900863647461
Time quotient is: 0.6359517233712333| input type: 2| time:2724 | latency: 22.258310317993164
Time quotient is: 0.616629375730242| input type: 2| time:2780 | latency: 21.58202815055847
Time quotient is: 0.6196096692766462| input type: 2| time:2836 | latency: 21.686338424682617
Time quotient is: 0.6645539215632847| input type: 2| time:2909 | latency: 23.259387254714966
Time quotient is: 0.6795910835266114| input type: 2| time:2967 | latency: 23.785687923431396
Time quotient is: 0.6734978743961879| input type: 2| time:3025 | latency: 23.572425603866577
Time quotient is: 0.6751908029828753| input type: 2| time:3083 | latency: 23.631678104400635
Time quotient is: 0.682680014201573| input type: 2| time:3142 | latency: 23.893800497055054
Time quotient is: 0.30962672233581545| input type: 2| time:3186 | latency: 10.83693528175354
Time quotient is: 0.6610998289925711| input type: 2| time:3244 | latency: 23.13849401473999
Time quotient is: 0.6846410615103585| input type: 2| time:3302 | latency: 23.96243715286255
